State,Total visits,"Infections per 100,000 visits"
Alabama,28905,1286.9745715323647
Arizona,98625,262.61089924392394
Arkansas,61345,2363.680821068873
California,539099,286.03280593212753
Colorado,176960,673.033453502735
Connecticut,185220,844.4012521117969
Delaware,30568,2548.416644404672
Florida,497549,663.4522424430197
Georgia,214724,1219.705295582804
Hawaii,23224,697.5542537018601
Idaho,72294,174.28832210432398
Illinois,361207,1238.3480934685983
Indiana,183079,1036.710927539991
Iowa,132901,630.5445403267621
Kansas,65744,258.5787292923309
Kentucky,177566,1312.7513147181892
Louisiana,169969,1066.0767546452705
Maine,55713,134.61849062048353
Maryland,102265,1083.4596385418959
Massachusetts,230112,593.6239739947462
Michigan,366867,593.6756366830432
Minnesota,213670,548.5093828918893
Mississippi,123184,937.6217682533446
Missouri,77569,446.0544797773595
Montana,14365,146.18865207636617
Nebraska,52727,256.03580640163483
Nevada,57532,670.9309595833101
New Hampshire,38084,509.400272712399
New Jersey,182327,662.5458650614062
New Mexico,12763,203.71385984212174
New York,360142,778.8594494057984
North Carolina,404658,1163.2044829879899
North Dakota,62177,109.36519892685399
Ohio,753558,533.8673326216866
Oklahoma,77327,1329.4192192091637
Oregon,107851,420.02392136203656
Pennsylvania,515494,892.5419107553842
Rhode Island,7720,284.9740926332901
South Carolina,264286,904.3233459676487
South Dakota,33364,209.8069771611617
Tennessee,77135,1406.6247485326637
Texas,629396,899.1159771714788
Utah,43300,300.2309464209238
Vermont,24164,364.17811568875186
Virginia,296906,819.7880806325774
Washington,103040,392.0807450567062
West Virginia,82036,1182.407722601297
Wisconsin,256318,472.85013081073896
Wyoming,9855,375.4439367475393